# Move data format: Name,Type,Category,Power,Accuracy,PP,StatusEffect,StatusChance
# Categories: Physical,Special,Status
# Types: Normal,Fire,Water,Grass,Electric,Ice,Fighting,Poison,Ground,Flying,Psychic,Bug,Rock,Ghost,Dragon,Dark,Steel,Fairy
# Status Effects: None,Burn,Freeze,Paralysis,Poison,Sleep,Confusion
Tackle,Normal,Physical,40,100,35,None,0
Growl,Normal,Status,0,100,40,None,0
Scratch,Normal,Physical,40,100,35,None,0
Ember,Fire,Special,40,100,25,Burn,10
Flamethrower,Fire,Special,90,100,15,Burn,10
Fire Blast,Fire,Special,110,85,5,Burn,10
Water Gun,Water,Special,40,100,25,None,0
Hydro Pump,Water,Special,110,80,5,None,0
Surf,Water,Special,90,100,15,None,0
Vine Whip,Grass,Special,45,100,25,None,0
Razor Leaf,Grass,Physical,55,95,25,None,0
Solar Beam,Grass,Special,120,100,10,None,0
Thundershock,Electric,Special,40,100,30,Paralysis,10
Thunderbolt,Electric,Special,90,100,15,Paralysis,10
Thunder,Electric,Special,110,70,10,Paralysis,30
Quick Attack,Normal,Physical,40,100,30,None,0
Slash,Normal,Physical,70,100,20,None,0
Body Slam,Normal,Physical,85,100,15,Paralysis,30
Hyper Beam,Normal,Special,150,90,5,None,0
Ice Beam,Ice,Special,90,100,10,Freeze,10
Blizzard,Ice,Special,110,70,5,Freeze,10
Psychic,Psychic,Special,90,100,10,None,0
Earthquake,Ground,Physical,100,100,10,None,0
Rock Slide,Rock,Physical,75,90,10,None,0
Sludge Bomb,Poison,Special,90,100,10,Poison,30
Dragon Claw,Dragon,Physical,80,100,15,None,0
Shadow Ball,Ghost,Special,80,100,15,None,0
Fire Punch,Fire,Physical,75,100,15,Burn,10
Thunder Punch,Electric,Physical,75,100,15,Paralysis,10
Ice Punch,Ice,Physical,75,100,15,Freeze,10
Close Combat,Fighting,Physical,120,100,5,None,0
Crunch,Dark,Physical,80,100,15,None,0
Iron Tail,Steel,Physical,100,75,15,None,0
Moonblast,Fairy,Special,95,100,15,None,0
Flare Blitz,Fire,Physical,120,100,15,Burn,10
Brave Bird,Flying,Physical,120,100,15,None,0
Dragon Pulse,Dragon,Special,85,100,10,None,0
Energy Ball,Grass,Special,90,100,10,None,0
Flash Cannon,Steel,Special,80,100,10,None,0
Focus Blast,Fighting,Special,120,70,5,None,0
